Name,Size, Dashboard Code,Include/Exclude,Segment Category,Segment Frequency,Segment Time Period,Segment Name,Segment Description
Bike owners - £4k+,749035,AP_x is 15843,Include,Sports,Survey,Survey,Bike owners - £4k+,We define these users as those who own a bike worth more than £4k
Bike owners - Less than £1k,3737642,AP_x is 15840,Include,Sports,Survey,Survey,Bike owners - Less than £1k,We define these users as those who own a bike worth less than £1k
Bike purchase intenders,2916646,AP_x is 15526,Include,Sports,Survey,Survey,Bike purchase intenders,We define these users as those who intend on purchasing a new bike
Black Friday - Clothing/Fashion Purchasers,0,AP_x is 15384,Include,Black Friday,Survey,Survey,Black Friday - Clothing/Fashion Purchasers,We define these users as those who plan to purchase clothing on Black Friday
Black friday - Considering deals if relevant,7555136,AP_x is 16491,Include,Black Friday,Survey,Survey,Black friday - Considering deals if relevant,We define these users as those who may consider Black Friday deals if relevant
Black Friday - Homeware Purchases,0,AP_x is 15383,Include,Black Friday,Survey,Survey,Black Friday - Homeware Purchases,We define these users as those who plan to purchase homeware items on Black Friday
Black Friday - Tech Purchasers,2346710,AP_x is 15386,Include,Black Friday,Survey,Survey,Black Friday - Tech Purchasers,We define these users as those who plan to make tech purchases on Black Friday
Black Friday cosmetics/personal care product purchasers,0,AP_x is 15389,Include,Black Friday,Survey,Survey,Black Friday cosmetics/personal care product purchasers,We define these users as those who are likely to purchase cosmetics/personal care products during Black Friday 
Black Friday deal searchers,1933666,AP_x is 16490,Include,Black Friday,Survey,Survey,Black Friday deal searchers,We define these users as those who actively look for deals during Black Friday
Black Friday ticket purchasers,0,AP_x is 15387,Include,Black Friday,Survey,Survey,Black Friday ticket purchasers,We define these users as those who are likely to purchase tickets during Black Friday
Black Friday toy purchasers,0,AP_x is 15388,Include,Black Friday,Survey,Survey,Black Friday toy purchasers,We define these users as those who are likely to purchase toy products during Black Friday
Britbox subsribers,844177,AP_x is 16078,Include,Arts & Entertainment,Survey,Survey,Britbox subsribers,We define these users as those who are subscrbed to Britbox
BT Customers who use On Demand Services,0,AP_x is 13708,Include,Arts & Entertainment,Survey,Survey,BT Customers who use On Demand Services,We define these users as those who are BT customers and use on demand services
BT TV Customers,462658,AP_x is 10417,Include,Arts & Entertainment,Survey,Survey,BT TV Customers,We define these users as those who pay for a BT entertainment package
Business Owners (10-50 people),293498,AP_x is 15872,Include,Demographics - employment,Survey,Survey,Business Owners (10-50 people),We define these users as those who own a business with 50 or more employees
Business Owners (1-9 people),6865350,AP_x is 15870,Include,Demographics - employment,Survey,Survey,Business Owners (1-9 people),We define these users as those who own a business with up to 10 employees
Car Intenders,55248,ap_k is 2030,Include,Intenders,Survey,Survey,Car Intenders,We define these users as those who intend to buy a car
Car owners,7708415,AP_x is 15839,Include,Auto,Survey,Survey,Car owners,We define these users as those who already own a car
Car payment - cash,5557043,AP_x is 15499,Include,Auto,Survey,Survey,Car payment - cash,We define these users as those who plan to purchase their next car with cash
Car payment - lease,1582041,AP_x is 15496,Include,Auto,Survey,Survey,Car payment - lease,We define these users as those who plan to purchase their next car on lease
Car payment - loan,2384886,AP_x is 15498,Include,Auto,Survey,Survey,Car payment - loan,We define these users as those who plan to purchase their next car using a loan
Car payment - PCP,2377933,AP_x is 15497,Include,Auto,Survey,Survey,Car payment - PCP,We define these users as those who plan to purchase their next car on a PCP scheme
Cat & Dog Owners,1325179,AP_x is 15419,Include,Pet Owner,Survey,Survey,Cat & Dog Owners,We define these users as those who own a cat or dog
Cat owners,2671028,AP_x is 13618,Include,Pet Owner,Survey,Survey,Cat owners,We define these users as those who are cat owners
Child - 0-3 months,541351,AP_x is 16157,Include,Demographics - Children,Survey,Survey,Child - 0-3 months,We define these users as those whose youngest child is between the ages of 0-3 months
Child - 10-15 years,3453506,AP_x is 16540,Include,Demographics - Children,Survey,Survey,Child - 10-15 years,We define these users as those who youngest child is aged 10-15 years
Child - 1-2 years,1590756,AP_x is 16160,Include,Demographics - Children,Survey,Survey,Child - 1-2 years,We define these users as those who youngest child is aged 1-2 years
Child - 1-3 years,2586326,AP_x is 16959,Include,Demographics - Children,Survey,Survey,Child - 1-3 years,We define these users as those whoseyoungest child is aged 1-3 
Child - 3+ years,6268176,AP_x is 16161,Include,Demographics - Children,Survey,Survey,Child - 3+ years,We define these users as those who youngest child is aged 3+ 
Child - 3-5 years,3140248,AP_x is 16960,Include,Demographics - Children,Survey,Survey,Child - 3-5 years,We define these users as those whoseyoungest child is aged 3-5
Child - 4-6 months,450096,AP_x is 16158,Include,Demographics - Children,Survey,Survey,Child - 4-6 months,We define these users as those who youngest child is aged 4-6 months
Child - 5-10 years,5079467,AP_x is 16539,Include,Demographics - Children,Survey,Survey,Child - 5-10 years,We define these users as those whoseyoungest child is aged 5-10
Child - 7-12 months,884409,AP_x is 16159,Include,Demographics - Children,Survey,Survey,Child - 7-12 months,We define these users as those who youngest child is aged 7-12 months
Christmas food quality - Somewhat important,5028855,AP_x is 16518,Include,Christmas,Survey,Survey,Christmas food quality - Somewhat important,We define these users as those who consider how premium the food quality is for their Christmas shop to be somewhat important
Christmas food quality - Very important,4298789,AP_x is 16517,Include,Christmas,Survey,Survey,Christmas food quality - Very important,We define these users as those who consider how premium the food quality is for their Christmas shop to be very important
Christmas gift buyers -  technology - £1000+,413676,AP_x is 16503,Include,Christmas,Survey,Survey,Christmas gift buyers -  technology - £1000+,"We define these users as those who usually spend over £1,000 on technology per year for Christmas"
Christmas gift buyers -  technology - £250-500,3296469,AP_x is 16500,Include,Christmas,Survey,Survey,Christmas gift buyers -  technology - £250-500,We define these users as those who are likely to spend £250-£500 on technology related products at Christmas
Christmas gift buyers -  technology - £500-750,338440,AP_x is 16501,Include,Christmas,Survey,Survey,Christmas gift buyers -  technology - £500-750,We define these users as those who are likely to spend £500-£750 on technology related products at Christmas
Christmas gift buyers -  technology - £750-1000,213383,AP_x is 16502,Include,Christmas,Survey,Survey,Christmas gift buyers -  technology - £750-1000,We define these users as those who are likely to spend £750-£1000 on technology related products at Christmas
Christmas gift buyers -  technology - less than £250,5067043,AP_x is 16499,Include,Christmas,Survey,Survey,Christmas gift buyers -  technology - less than £250,We define these users as those who are likely to spend less than £250 on technology related products at Christmas
Christmas gift buyers - 1-2 months in advance,2097927,AP_x is 15514,Include,Christmas,Survey,Survey,Christmas gift buyers - 1-2 months in advance,We define these users as those who purchase their Christmas presents 1-2 months in advance
Christmas gift buyers - clothing - £100-250,4674827,AP_x is 16505,Include,Christmas,Survey,Survey,Christmas gift buyers - clothing - £100-250,We define these users as those who spends £100-250 on clothing for Christmas presents
Christmas gift buyers - clothing - £250-500,678351,AP_x is 16506,Include,Christmas,Survey,Survey,Christmas gift buyers - clothing - £250-500,We define these users as those who spends £250-500 on clothing for Christmas presents
Christmas gift buyers - clothing - £500-800,388002,AP_x is 16507,Include,Christmas,Survey,Survey,Christmas gift buyers - clothing - £500-800,We define these users as those who spends £500-800 on clothing for Christmas presents
Christmas gift buyers - clothing - £800+,296036,AP_x is 16508,Include,Christmas,Survey,Survey,Christmas gift buyers - clothing - £800+,We define these users as those who spends £800+ on clothing for Christmas presents
Christmas gift buyers - clothing - Less than £100-250,3345167,AP_x is 16504,Include,Christmas,Survey,Survey,Christmas gift buyers - clothing - Less than £100-250,We define these users as those who spends less than £100 on clothing for Christmas presents
Christmas gift buyers - early december,776614,AP_x is 15515,Include,Christmas,Survey,Survey,Christmas gift buyers - early december,We define these users as those who purchase their Christmas presents early December
Christmas gift buyers - first half of the year,245635,AP_x is 15513,Include,Christmas,Survey,Survey,Christmas gift buyers - first half of the year,We define these users as those who purchase their Christmas presents in the first half of the year
Christmas gift buyers - last minute,211282,AP_x is 15517,Include,Christmas,Survey,Survey,Christmas gift buyers - last minute,We define these users as those who purchase their Christmas presents last minute
Christmas gift buyers - mid december,455990,AP_x is 15516,Include,Christmas,Survey,Survey,Christmas gift buyers - mid december,We define these users as those who purchase their Christmas presents mid December
Christmas guests,2385249,AP_x is 15409,Include,Food & Drink,Survey,Survey,Christmas guests,We define these users as those who spends Christmas day as a guest
Christmas hosters,2507845,AP_x is 13617,Include,Food & Drink,Survey,Survey,Christmas hosters,We define these users as those who host Christmas day
Christmas hosters - 10+ attendees,882073,AP_x is 15453,Include,Food & Drink,Survey,Survey,Christmas hosters - 10+ attendees,We define these users as those who host Christmas day for more than 10 people
Christmas premium food shoppers,6416232,AP_x is 13620,Include,Food & Drink,Survey,Survey,Christmas premium food shoppers,We define these users as those who likely place very importance on premium food products at Christmas
Christmas presents - spend less than last year,4469200,AP_x is 16496,Include,Christmas,Survey,Survey,Christmas presents - spend less than last year,We define these users as those who are likely to spend less than last year on Christmas presents
Christmas presents - spend more than last year,1930241,AP_x is 16497,Include,Christmas,Survey,Survey,Christmas presents - spend more than last year,We define these users as those who are likely to spend more than last year on Christmas presents
Christmas presents - spend the same last year,2866124,AP_x is 16498,Include,Christmas,Survey,Survey,Christmas presents - spend the same last year,We define these users as those who are likely to spend the same as last year on Christmas presents
Christmas quality food shoppers,3801249, AP_x is 16513,Include,Christmas,Survey,Survey,Christmas quality food shoppers,We define these users as those who prefer to shop for better quality food during Christmas
Christmas shopping - change stores based on price,3190411, AP_x is 16519,Include,Christmas,Survey,Survey,Christmas shopping - change stores based on price,We define these users as those who change stores based on prices for their Christmas shop
Christmas shopping - change stores based on range of food,6518129,AP_x is 16520,Include,Christmas,Survey,Survey,Christmas shopping - change stores based on range of food,We define these users as those who change stores based on range of food for their Christmas shop
Christmas shopping - change stores based on recommendation,933021,AP_x is 16521,Include,Christmas,Survey,Survey,Christmas shopping - change stores based on recommendation,We define these users as those who change stores based on recommendations from others for their Christmas shop
Christmas shopping - change supermarkets,623312,AP_x is 16522,Include,Christmas,Survey,Survey,Christmas shopping - change supermarkets,We define these users as those who change supermarkets for their Christmas shop
Christmas shopping - cheaper supermarkets,832088,AP_x is 15436,Include,Food & Drink,Survey,Survey,Christmas shopping - cheaper supermarkets,We define these users as those who shop at a cheaper supermarket during Christmas
Christmas shopping - same supermarket,6231659,AP_x is 16525,Include,Christmas,Survey,Survey,Christmas shopping - same supermarket,We define these users as those who do not change supermarkets for their Christmas shop
Christmas shopping - shop at multiple stores,656947,AP_x is 16524,Include,Christmas,Survey,Survey,Christmas shopping - shop at multiple stores,We define these users as those who shop at multiple stores for their Christmas shop
Christmas shopping - spend less,3164821,AP_x is 16523,Include,Christmas,Survey,Survey,Christmas shopping - spend less,We define these users as those who spend less when doing their Christmas shop
Christmas staycation intenders,245154,AP_x is 16494,Include,Christmas,Survey,Survey,Christmas staycation intenders,We define these users as those who intend on planning a staycation for Christmas this year
Christmas stock level shoppers,785867,AP_x is 16515,Include,Christmas,Survey,Survey,Christmas stock level shoppers,We define these users as those who shop at multiple supermarkets at Christmas to obtain high stock levels
Christmas unique product shoppers,6073023, AP_x is 16514,Include,Christmas,Survey,Survey,Christmas unique product shoppers,We define these users as those who shop at u
Christmas/NYE hosters,1836882,AP_x is 16509,Include,Christmas,Survey,Survey,Christmas/NYE hosters,We define these users as those who enjoy hosting at Christmas and/or New Year's Eve
Cider drinkers,933369,AP_x is 15502,Include,Food & Drink,Survey,Survey,Cider drinkers,We define these users as those who prefer drinking cider
City break goers,1404294,AP_x is 15143,Include,Holiday intenders,Survey,Survey,City break goers,We define these users as those who prefer going on city breaks
Classical music fans,7200233,AP_x is 16052,Include,Interest,Survey,Survey,Classical music fans,We define these users as those who listen to classical music
Cocktail drinkers,2219927,AP_x is 15503,Include,Food & Drink,Survey,Survey,Cocktail drinkers,We define these users as those who prefer drinking cocktails
Coffee Drinkers,4043017,AP_x is 15715,Include,Food & Drink,Survey,Survey,Coffee Drinkers,We define these users as those who prefer drinking coffee
Comedy film fans,847188,AP_x is 15875,Include,Arts & Entertainment,Survey,Survey,Comedy film fans,We define these users as those who prefer watching comedy films
Comedy TV fans,1517008,AP_x is 15451,Include,Arts & Entertainment,Survey,Survey,Comedy TV fans,We define these users as those who prefere watching comedy TV
Commercial vehicle owner,60962,AP_x is 14062,Include,Auto,Survey,Survey,Commercial vehicle owner,We define these users as those who own a commercial vehicle or van
Community supporters,1702181,AP_x is 15959,Include,Interest,Survey,Survey,Community supporters,We define these users as those who enjoy contributing to the community through volunteering or supporting a charity
Company car users,3355561,AP_x is 15427,Include,Auto,Survey,Survey,Company car users,We define these users as those who are likely to have a company car
Confident bakers,2174957,AP_x is 15859,Include,Food & Drink,Survey,Survey,Confident bakers,We define these users as those who are confident when baking
Console gamers,4446959,AP_x is 16170,Include,Interest,Survey,Survey,Console gamers,We define these users as those who prefer to game on a console
Contract phone purchase intenders,4872521,AP_x is 14052,Include,Purchase intenders,Survey,Survey,Contract phone purchase intenders,We define these users as those who intend on purchase a new phone on contract
Cooking enthusiasts,7736527,AP_x is 16628,Include,Food & Drink,Survey,Survey,Cooking enthusiasts,We define these users as those who have clearly indicated that they enjoy cooking
CO-OP Shoppers,992434,AP_x is 14224,Include,Food & Drink,Survey,Survey,CO-OP Shoppers,We define these users as those who prefer shopping at Co-Op
Countryside break goers,1511838,AP_x is 15144,Include,Holiday intenders,Survey,Survey,Countryside break goers,We define these users as those who prefer going on countryside breaks
Crime film fans,3315355,AP_x is 15882,Include,Arts & Entertainment,Survey,Survey,Crime film fans,We define these users as those who prefer watching crime films
Crime TV fans,812452,AP_x is 15449,Include,Arts & Entertainment,Survey,Survey,Crime TV fans,We define these users as those who prefer watching crime TV
Cross fit enthusiasts,131790,AP_x is 15510,Include,Sports,Survey,Survey,Cross fit enthusiasts,We define these users as those who enjoy crossfit
Cruise goers,158004,AP_x is 15145,Include,Holiday intenders,Survey,Survey,Cruise goers,We define these users as those who prefer cruise breaks
Current affairs TV fans,290638,AP_x is 15450,Include,Arts & Entertainment,Survey,Survey,Current affairs TV fans,We define these users as those who prefer watching current affairs TV
Cycling - accessory/tool purchase intenders,1297472,AP_x is 15530,Include,Sports,Survey,Survey,Cycling - accessory/tool purchase intenders,We define these users as those who intend on purchasing cycling accesories or tools
Cycling - clothing purchase intenders,1615815,AP_x is 15529,Include,Sports,Survey,Survey,Cycling - clothing purchase intenders,We define these users as those who intend on purchasing clothing for cycling
Cycling - components purchase intenders,1961940,AP_x is 15528,Include,Sports,Survey,Survey,Cycling - components purchase intenders,We define these users as those who intend on purchasing bike components
Cycling - frame purchase intenders,413373,AP_x is 15527,Include,Sports,Survey,Survey,Cycling - frame purchase intenders,We define these users as those who intend on purchasing a bike frame
Cycling - helmet purchase intenders,172877,AP_x is 15531,Include,Sports,Survey,Survey,Cycling - helmet purchase intenders,We define these users as those who intend on purchasing a cycling helmet
Dairy alternative purchasers,6213260,AP_x is 16595,Include,Food & Drink,Survey,Survey,Dairy alternative purchasers,We define these users as those who regularly purchase dairy alternatives
Deezer subscribers,0,AP_x is 15430,Include,Arts & Entertainment,Survey,Survey,Deezer subscribers,We define these users as those who are subscribed to Deezer
Diet - cutting all meat and dairy,367376,AP_x is 15713,Include,Food & Drink,Survey,Survey,Diet - cutting all meat and dairy,We define these users as those who plan to cut all meat and dairy from their diet
Dine out on Christmas day,561673,AP_x is 15410,Include,Food & Drink,Survey,Survey,Dine out on Christmas day,We define these users as those who likely enjoy eating out at Christmas
Disney+ subscribers,5345373,AP_x is 16594,Include,Arts & Entertainment,Survey,Survey,Disney+ subscribers,We define these users as those who are subscribed to Disney plus
Documentary fans,1936982,AP_x is 14469,Include,Arts & Entertainment,Survey,Survey,Documentary fans,We define these users as those who prefer watching documentaries
Dog owners,2485351,AP_x is 13619,Include,Pet Owner,Survey,Survey,Dog owners,We define these users as those who are dog owners
Domestic Travel intenders,4022575,AP_x is 15957,Include,Holiday intenders,Survey,Survey,Domestic Travel intenders,We define these users as those who prefer a domestic holiday
Drama TV fans,3477461,AP_x is 14527,Include,Arts & Entertainment,Survey,Survey,Drama TV fans,We define these users as those who prefer watching drama TV
Drinkers,4118306,AP_x is 16166,Include,Food & Drink,Survey,Survey,Drinkers,We define these users as those who drink
E-bike owners,496023,AP_x is 15791,Include,Sports,Survey,Survey,E-bike owners,We define these users as those who are likely to currently own an e-bike
E-bike purchase intenders,5213765,AP_x is 15866,Include,Sports,Survey,Survey,E-bike purchase intenders,We define these users as those who intend on purchasing an E-bike
Employed,75513,AP_f is 1500,Include,Demographics - employment,Survey,Survey,Employed,We define these users as those who are employed
Employment: Other,2018706,AP_f is 1514,Include,Demographics - employment,Survey,Survey,Employment: Other,We define these users as those who have stated employment as 'other'
EV/hybrid car fans,4907208,AP_x is 16156,Include,Auto,Survey,Survey,EV/hybrid car fans,We define these users as those who prefer EV/hybrid cars
Female,4931559,AP_a is 1101,Include,Demographics - gender,Survey,Survey,Female,We define these users as those who are females
Folding bike owners,0,AP_x is 16897,Include,Sports,Survey,Survey,Folding bike owners,We define these users as those who likely own a folding bike
Folding bike purchase intenders,0,AP_x is 16898,Include,Sports,Survey,Survey,Folding bike purchase intenders,We define these users as those who intend on purchasing a folding bike
Food & Drink - 7 a day (R & All time),19835,Permutive is 8454,Include,Food & Drink,Regular,All Time,7 a day recipe collection fans,We define these users as those who regularly browse 7 a day collection recipes
Food & Drink - Asian (O & All time),2927030,Permutive is 8515,Include,Food & Drink,Occasional,All Time,Asian food fans,We define these users as those who regularly browse Asian recipes
Food & Drink - Baking (R & All time),7019592,Permutive is 7318,Include,Food & Drink,Regular,All Time,Baking enthusiasts,We define these users as those who regularly browse Baking recipes
Food & Drink - Bank Holidays (O & All time),34619,Permutive is 6663,Include,Food & Drink,Occasional,All Time,Bank Holidays recipe fans,We define these users as those who regularly browse Bank Holiday recipes
Food & Drink - BBQs (O & All time),2567021,Permutive is 6613,Include,Food & Drink,Occasional,All Time,BBQs recipe fans,We define these users as those who regularly browse BBQ recipes
Food & Drink - Big Batch Cooking (O & All time),492926,Permutive is 6615,Include,Food & Drink,Occasional,All Time,Big Batch Cooking recipe fans,We define these users as those who regularly browse Big Batch Cooking recipes
Food & Drink - Boxing Day (O & All time),48157,Permutive is 10822,Include,Food & Drink,Occasional,All Time,Boxing Day recipe fans,We define these users as those who regularly browse Boxing Day recipes
Food & Drink - Bread - (F & all Time),2104976,Permutive is 18307,Include,Food & Drink,Frequent,All Time,Bread - recipe fans,We define these users as those who regularly browse Bread recipes
Food & Drink - Breakfast (R & All Time),4168830,Permutive is 47330,Include,Food & Drink,Regular,All Time,Breakfast recipe fans,We define these users as those who regularly browse Breakfast recipes
Food & Drink - British (R & All time),4586370,Permutive is 8211,Include,Food & Drink,Regular,All Time,British food fans,We define these users as those who regularly browse British recipes
Food & Drink - Brunch (O & All time),2860447,Permutive is 6975,Include,Food & Drink,Occasional,All Time,Brunch recipe fans,We define these users as those who regularly browse Brunch recipes
Food & Drink - Calcium (R & 30 days),1625414,Permutive is 136121,Include,Food & Drink,Regular,30 Days,Calcium recipe fans,We define these users as those who regularly browse calcium-rich recipes across our food websites
Food & Drink - Challenge Skill Level (O & All time),194274,Permutive is 8226,Include,Food & Drink,Occasional,All Time,Challenge Skill Level recipe fans,We define these users as those who regularly browse Challenging skill level recipes
Food & Drink - Cheap (R & All time),477506,Permutive is 7658,Include,Food & Drink,Regular,All Time,Cheap Food budgeters,We define these users as those who regularly browse  budget/cheap recipes
Food & Drink - Cheese (R & All time),2555504,Permutive is 7728,Include,Food & Drink,Regular,All Time,Cheese fans,We define these users as those who regularly browse Recipes with Cheese 
Food & Drink - Chinese (O & All time),1009243,Permutive is 8511,Include,Food & Drink,Occasional,All Time,Chinese food fans,We define these users as those who regularly browse Chinese recipes
Food & Drink - Chocolate (R & All time),2404943,Permutive is 19713,Include,Food & Drink,Regular,All Time,Chocolate fans,We define these users as those who regularly browse Recipes with Chocolate 
Food & Drink - Cinnamon (R & All time),1503777,Permutive is 7599,Include,Food & Drink,Regular,All Time,Cinnamon fans,We define these users as those who regularly browse Recipes with Cinnamon 
Food & Drink - Classic-recipes-minus-meat (O & All time),6168,Permutive is 8605,Include,Food & Drink,Occasional,All Time,Classic-recipes-minus-meat recipe fans,We define these users as those who regularly browse Meatless recipes
Food & Drink - Cocktails (O & All time),1678670,Permutive is 6901,Include,Food & Drink,Occasional,All Time,Cocktails recipe fans,We define these users as those who regularly browse Cocktail recipes
Food & Drink - Comfort Food/Slow Food Fans(R & All Time),3706281,Permutive is 117595,Include,Food & Drink,Regular,All Time,Comfort Food/Slow Food  recipe fans,We define these users as those who regularly browse Comfort food and slow food recipes across our websites
Food & Drink - Cooking Time Exceeds 2 Hours (R & All time),40986620,Permutive is 10888,Include,Food & Drink,Regular,All Time,Cooking Time Exceeds 2 Hours recipe fans,We define these users as those who regularly browse 2+ hour cooking recipes
Food & Drink - Cultural Food fans (F & All Time),3854546,Permutive is 56420,Include,Food & Drink,Frequent,All Time,Cultural Food fans Cultural food fans,We define these users as those who regularly browse  recipes of different cuisines
Food & Drink - Curry (R & All time),2165839,Permutive is 14395,Include,Food & Drink,Regular,All Time,Curry recipe fans,We define these users as those who regularly browse Curry recipes
Food & Drink - Dairy Free (O & All time),385669,Permutive is 7572,Include,Food & Drink,Occasional,All Time,Dairy Free recipe fans,We define these users as those who regularly browse Dairy Free recipes
Food & Drink - Delicious (F & All time),1180825,Permutive is 11171,Include,Food & Drink,Frequent,All Time,Delicious users,We define these users as those who regularly browse Delicious content
Food & Drink - Diabetic-Friendly (R & All Time),62688,Permutive is 21602,Include,Food & Drink,Regular,All Time,Diabetic-Friendly recipe fans,We define these users as those who regularly browse Diabetic Friendly recipes
Food & Drink - Dinner for Two (F & All time).,4101134,Permutive is 18252,Include,Food & Drink,Frequent,All Time,Dinner for Two recipe fans,We define these users as those who regularly browse Dinner for Two recipes
Food & Drink - Dinner Party (R & 90 Days),1116509,Permutive is 22336,Include,Food & Drink,Regular,90 Days,Dinner Party hosters,We define these users as those who regularly browse Dinner Party recipes
Food & Drink - Easter (O & 90 days),1776341,Permutive is 6175,Include,Food & Drink,Occasional,90 Days,Easter food fans,We define these users as those who regularly browse Easter recipes
Food & Drink - Easy Cake (R & All time),920725,Permutive is 8414,Include,Food & Drink,Regular,All Time,Easy Cake recipe fans,We define these users as those who regularly browse Easy Cake recipes
Food & Drink - Easy Pasta (R & All time),1134504,Permutive is 8415,Include,Food & Drink,Regular,All Time,Easy Pasta recipe fans,We define these users as those who regularly browse Easy Pasta recipes
Food & Drink - Easy Skill Level (R & All time),15204738,Permutive is 6904,Include,Food & Drink,Regular,All Time,Easy Skill Level recipe fans,We define these users as those who regularly browse Easy Skill Level recipes
Food & Drink - Eat like an Athlete (R & All time),1038419,Permutive is 8417,Include,Food & Drink,Regular,All Time,Eat like an Athlete recipe fans,We define these users as those who regularly browse Eat like an Athlete recipes
Food & Drink - Eco/Green Conscious (R & All time),3812910,Permutive is 12079,Include,Food & Drink,Regular,All Time,Eco/Green Conscious foodies,We define these users as those who regularly browse Eco Conscious recipes
Food & Drink - Edible Gift Recipes (O & All Time),18401,Permutive is 22279,Include,Food & Drink,Occasional,All Time,Edible Gift Recipes recipe fans,We define these users as those who regularly browse Edible Gift recipes
Food & Drink - Exotic (R & All Time),127767,Permutive is 117053,Include,Food & Drink,Regular,All Time,Exotic recipe fans,We define these users as those who regularly browse exotic recipes across our food websites
"Food & Drink - Exotic Recipes Fans (R & All Time) [Lookalike: 86.3% similarity, including seed]",1486218,Permutive is 117166,Include,Food & Drink,Regular,All Time,Exotic Recipes recipe fans,We define these users as those who regularly browse exotic recipes across our food websites
Food & Drink - Family Foodies Olive (O & All time),678042,Permutive is 10674,Include,Food & Drink,Occasional,All Time,Family Foodies Olive recipe fans,We define these users as those who regularly browse Olive family recipes
Food & Drink - Family Meal Planners (O & 90 days),346116,Permutive is 7367,Include,Food & Drink,Occasional,90 Days,Family Meal Planners planners,We define these users as those who regularly browse Family meal recipes
Food & Drink - Father's Day Recipes (O & All time),776382,Permutive is 6998,Include,Food & Drink,Occasional,All Time,Father's Day Recipes recipe fans,We define these users as those who regularly browse Father's Day recipes
Food & Drink - Foodies (O & All time),58793336,Permutive is 6894,Include,Food & Drink,Occasional,All Time,Foodies Foodies,"We define these users as those who regularly browse  recipes on Olive, Delicious or GoodFood"
Food & Drink - Freezable (R & All time),360452,Permutive is 8413,Include,Food & Drink,Regular,All Time,Freezable recipe fans,We define these users as those who regularly browse Freezable recipes
Food & Drink - French (R & All Time),1086201,Permutive is 22135,Include,Food & Drink,Regular,All Time,French food fans,We define these users as those who regularly browse French recipes
Food & Drink - Fried food (R & 90 days),781735,Permutive is 136161,Include,Food & Drink,Regular,90 Days,Fried food recipe fans,We define these users as those who regularly browse fried food recipes across our food websites
Food & Drink - General Christmas Food Planners (O & All time),7314132,Permutive is 10824,Include,Food & Drink,Occasional,All Time,General Christmas Food Planners food planners,We define these users as those who regularly browse Christmas themed recipes
Food & Drink - GF (F & All time),11631440,Permutive is 11169,Include,Food & Drink,Frequent,All Time,GF users,We define these users as those who regularly browse GoodFood content
Food & Drink - Gin Fans (O & All time),226956,Permutive is 11159,Include,Food & Drink,Occasional,All Time,Gin  fans,We define these users as those who regularly browse Drink recipes with Gin 
Food & Drink - Ginger (R & All time),1936724,Permutive is 7600,Include,Food & Drink,Regular,All Time,Ginger fans,We define these users as those who regularly browse Recipes with Ginger 
Food & Drink - Gluten Free (O & All time),1222951,Permutive is 7569,Include,Food & Drink,Occasional,All Time,Gluten Free recipe fans,We define these users as those who regularly browse Gluten Free recipes
Food & Drink - Golden Syrup (R & all Time),4931006,Permutive is 18781,Include,Food & Drink,Regular,All Time,Golden Syrup fans,We define these users as those who regularly browse Recipes with Golden Syrup 
Food & Drink - GoodFood Users (O & All time),53025389,Permutive is 6619,Include,Food & Drink,Occasional,All Time,GoodFood Users users,We define these users as those who regularly browse GoodFood content
Food & Drink - Greek (O & All time),272826,Permutive is 19671,Include,Food & Drink,Occasional,All Time,Greek food fans,We define these users as those who regularly browse Greek recipes
Food & Drink - Gut-Friendly Diet (F & 90 days),0,Permutive is 123355,Include,Food & Drink,Frequent,90 Days,Gut-Friendly Diet recipe fans,We define these users as those who frequently browse Gut-Friendly and High Fibre recipes across our food websites
Food & Drink - Health Conscious Foodies (O & All time),16682876,Permutive is 7423,Include,Food & Drink,Occasional,All Time,Health Conscious Foodies foodies,We define these users as those who regularly browse Health conscious recipes
Food & Drink - Health conscious Parents (R & All time),1711956,Permutive is 8233,Include,Food & Drink,Regular,All Time,Health conscious Parents parent foodies,We define these users as those who regularly browse Health conscious recipes
Food & Drink - Healthy Breakfast (O & All time),188252,Permutive is 12479,Include,Food & Drink,Occasional,All Time,Healthy Breakfast recipe fans,We define these users as those who regularly browse Healthy Breakfast recipes
Food & Drink - Healthy Heart (O & All time).,1156364,Permutive is 8111,Include,Food & Drink,Occasional,All Time,Healthy Heart recipe collection fans,We define these users as those who regularly browse Healthy Heart collection recipes
Food & Drink - Healthy Snackers (O & All time),507203,Permutive is 8806,Include,Food & Drink,Occasional,All Time,Healthy Snackers snackers,We define these users as those who regularly browse Healthy snack recipes
Food & Drink - Herbs & Spices (R & All time),4135643,Permutive is 7597,Include,Food & Drink,Regular,All Time,Herbs & Spices fans,We define these users as those who regularly browse Recipes with Herbs & Spices 
Food & Drink - High Protein (O & All time),1347507,Permutive is 8624,Include,Food & Drink,Occasional,All Time,High Protein recipe fans,We define these users as those who regularly browse High Protein recipes
Food & Drink - Hosters (O & All time),9942894,Permutive is 6670,Include,Food & Drink,Occasional,All Time,Hosters hosters,We define these users as those who regularly browse Dinner Party recipes
Food & Drink - Indian (O & All time),602419,Permutive is 19672,Include,Food & Drink,Occasional,All Time,Indian food fans,We define these users as those who regularly browse Indian recipes
Food & Drink - Indulgent Foodies (R & All time),6238007,Permutive is 7656,Include,Food & Drink,Regular,All Time,Indulgent Foodies foodies,We define these users as those who regularly browse Indulgent recipes
