advertiser,campaign_name,campaign_id,category,start_date,impressions,clicks
Disney+,PG_Disney+_Zenith_The Stolen Girl_16 April - 4th May,1976741,Entertainment,2025-01-01,350844,6708
Webb,ORD-00291352_Webb_2025 campaign,1983275,Gardening,2025-01-01,350184,8909
Webb,ORD-00291352_Webb_2025 campaign,1959076,Gardening,2025-01-01,350184,8909
Mars,ORD-00292262_MarsSprinbake2025_M&MS_Jan-April,1924981,Food,2025-01-01,350111,8609
Apple,ORD-00291464_Direct_Apple_Severance2 RT_Jan_LD,1890070,Entertainment,2025-01-01,350034,0
Ford,ORD-00294423 & ORD-00294461_Direct_ Digi_Ford Power Promise Part 1,2030355,Motoring,2025-01-01,349999,3025
Winalot,Winalot 2024_OpenMind_WPP,1647224,Pets,2024-01-01,349705,98
Finish,ORD-00295079_Finish_Zenith_2025/26 partnership - July-June,2202971,Food,2025-01-01,345197,33
Apple,Direc t_Apple_MGOMD_RT_Marcomms_Sept_LD,1760160,Entertainment,2024-01-01,344835,130
Apple,ORD-00288652_ORD-00288653 _ORD-00289004__ ORD-00289077Direc t_Apple_MGOMD_RT_Marcomms_Sept_LD (IPhone),1863128,Entertainment,2024-01-01,344835,130
Apple,ORD-00289077Direct_Apple_MGOMD_RT_Marcomms_Sept_LD (IPhone),1792821,Entertainment,2024-01-01,344835,130
Apple,ORD-00290229/ORD-00290227Direct_Apple_MGOMD_RT_BadSisters_Nov_LD,1869269,Entertainment,2024-01-01,344831,141
Apple,"ORD-00292528,_ORD-00292529_Direct_Apple_MGOMD_RT_Marcomms_FebMarchLD",1965163,Entertainment,2025-01-01,344815,1384
National Theatre,ORD-00291639_National Theatre At Home Q1 Campaign,1914407,Entertainment,2025-01-01,343703,6456
Sainsburys,PG_Sainsbury's_EMX_Weekly Moments_10/06-31/08_RT,1757525,Food,2024-01-01,343548,3906
Disney+,PG_Disney+_Zenith_The Stolen Girl_16 April - 4th May,1976741,Entertainment,2025-01-01,343476,5465
Age of Elegance,ORD-00293188_Age of Elegance - March - June 2025,2020105,Entertainment,2025-01-01,341697,114
Age of Elegance,ORD-00293188_Age of Elegance - March - June 2025,2020105,Entertainment,2025-01-01,341674,178
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,339422,19551
Disney+,PG_Disney+_Zenith_The Stolen Girl_16 April - 4th May,1976741,Entertainment,2025-01-01,339306,207
Electorial Commission,ORD-00296311 & ORD-00296312_EC Voter ID & EC Voter Reg_UMBirm_GF_MMA_Feb May2026,2256951,Government,2026-01-01,336702,985
Apple,ORD-00288149+ORD-00287960 Apple Slow Horses x BFI,1770104,Entertainment,2024-01-01,336654,2966
bet365,ORD-00298020_bet365 H1 2026,2238101,Gambling,2026-01-01,335095,20196
bet365,ORD-00298020_bet365 H1 2026,2238101,Gambling,2026-01-01,335093,625
bet365,ORD-00298020_bet365 H1 2026,2238101,Gambling,2026-01-01,335040,672
bet365,ORD-00298020_bet365 H1 2026,2238101,Gambling,2026-01-01,335032,19050
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,335030,633
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,335025,793
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,335016,603
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,335005,21153
bet365,ORD-00298020_bet365 H1 2026,2238101,Gambling,2026-01-01,335000,507
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,334923,19092
Nutracheck,Nutracheck,1856812,On-Demand,2024-01-01,334838,221
Turtle Wax,PG_Turtle WaxUK_26PMX_SkinMMA_TG_JunAug25,2047684,Motoring,2025-01-01,334778,842
The Walt Disney Company,PG_Disney_Elio_June_RON_02/06/25,2040079,Entertainment,2025-01-01,334693,6798
Apple,ORD-00290414_Direct_Apple_Blitz RT_Nov-Dec-LD,1869361,Entertainment,2024-01-01,334666,3049
Disney+,PG_Disney_Moana 2_Nov 2024,1827805,Entertainment,2024-01-01,334342,6653
Apple,ORD-00288149+ORD-00287960 Apple Slow Horses x BFI,1770104,Entertainment,2024-01-01,333770,2676
ITV,ITV_EMX_Q4 24 Planning_Digital and Print ,1852125,Entertainment,2024-01-01,333396,1397
Pernod Ricard,PG_MGOMD_Pernod_Altos_June/July_LD,1713659,Alcohol,2024-01-01,333347,2701
Pernod Ricard,PG_MGOMD_Pernod_Altos_June/July_LD,1713659,Alcohol,2024-01-01,333336,2590
bet365,ORD-00298020_bet365 H1 2026,2238101,Gambling,2026-01-01,332687,18760
Tesco,ORD-00290546 _BARTER Tesco Christmas 2024 Digital Campaign,1866821,Supermarket,2024-01-01,331803,6094
Apple,ORD-00299337_Direct_Apple_Monarch__RT_Feb26,2264992,Entertainment,2026-01-01,331741,3838
Arla,ORD-00293208_Arla_Lurpak_Easter_25_Value,1983591,Food,2025-01-01,331562,1057
BBC Good Food,ORD-00292020_Tesco Food 3.0 - Feb Campaign. Digital,1912811,Supermarket,2025-01-01,331173,5816
BBC Good Food,ORD-00292020_Tesco Food 3.0 - Feb Campaign. Digital,1912811,Supermarket,2025-01-01,331124,6280
National Geographic,PG_Nat_Geo_Publicis_Tsunami_Race Against_Time_November,1896920,Entertainment,2024-01-01,328560,3671
Mattel UK,ORD-00295966_Mattel_UM_Mattel Hot Wheels_15.09,2139285,Entertainment,2025-01-01,328204,3598
Disney+,PG_Disney+_Zenith_The Stolen Girl_16 April - 4th May,1976741,Entertainment,2025-01-01,327901,683
bet365,ORD-00291479_bet365 H1 2025,1900569,Gambling,2025-01-01,324808,13940
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,324178,328
My Expert Midwife,ORD-00294341_Direct_MyexpertMidwife_Alchemy_Digi MFM,2062059,Parenting,2025-01-01,322719,6403
Filippo Berrio,Connect_SF__Filippo Berio_ORD-00297235_Filippo_Berrio_Mediaplus_Xmas25SkinMMA_Dec25,2210671,Food,2025-01-01,322595,6035
Primula,ORD-00292203_Primula_Alchemy Media_Dec 25 Digi,2195080,Food,2025-01-01,322595,3551
Primula,ORD-00288988_Primula_Alchemy Media_Print Digi food festive,1871565,Food,2024-01-01,322594,3987
Primula,ORD-00292202_Primula_Alchemy Media_April 25 Digi,1971007,Food,2025-01-01,322585,3729
Primula - Easter,ORD-00292202_Primula_Alchemy Media_April 25 Digi,1981615,Food,2025-01-01,322571,3729
Winalot,Winalot 2024_OpenMind_WPP,1647224,Pets,2024-01-01,322562,207
Jason's Sourdough,ORD-00295058/Jason's Sourdough_Alchemy Media,2117950,Food,2025-01-01,322520,6318
American Pistachio,ORD-00293270/ORD-00293326_American Pistachio_Summer2025_Print_Digi_GF_GW,2005736,Food,2025-01-01,320090,1523
Apple,ORD-00290658/ORD-00290661_Direct_Apple_Iphone14Pro RT_LPTO_Nov-Dec-LD,1869545,Entertainment,2024-01-01,320029,1171
Grana Padano,ORD-00290516_Grana_Padano_Xmas_GF_24,1878439,Food,2024-01-01,318002,1145
Birds Eye,ORD-00298551_Birds Eye Peas - Zenith - March - April,2277873,Food,2026-01-01,317988,201
Birds Eye,ORD-00298551_Birds Eye Peas - Zenith - March - April,2277873,Food,2026-01-01,317951,104
Apple,ORD-00289077Direct_Apple_MGOMD_RT_Marcomms_Sept_LD (IPhone),1792821,Entertainment,2024-01-01,317925,1594
Apple,ORD-00288652_ORD-00288653 _ORD-00289004__ ORD-00289077Direc t_Apple_MGOMD_RT_Marcomms_Sept_LD (IPhone),1863128,Entertainment,2024-01-01,317925,1594
bet365,ORD-00291479_bet365 H1 2025,1900569,Gambling,2025-01-01,315850,15277
Miller & Carter,PG_Miller&Carter_26PMX_Skin&MMA_Sept_Oct_25,2109099,Food,2025-01-01,314599,6514
Apple,ORD-00293816_Direct_MGOMD_Apple_FountainOfYouth_ RT_May_LD,2009825,Entertainment,2025-01-01,312291,3031
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,312142,8713
Kerrygold,ORD-00299430_Kerrygold_PHD_GF_StPatricksDay_Skin&MMA_Mar25,2280231,Food,2026-01-01,310000,644
Alpen,ORD-00277683_Alpen_GetMeMedia_Nov-Sept,1601248,Food,2024-01-01,309617,5308
E.ON,ORD-00291553_E.On Next 2025,1895637,Tech,2025-01-01,308819,124
E.ON,ORD-00291553_E.On Next 2025,1895637,Tech,2025-01-01,308740,202
Warner Leisure,ORD-00278268 & ORD-00278274_Warner Leisure Hotels-Q4 2023 / Q1-2 2024,1510991,Travel,2024-01-01,307736,1920
bet365,ORD-00291479_bet365 H1 2025,1900569,Gambling,2025-01-01,305440,12908
Diageo,ORD-Multi_Diageo_H1 24 Gins Partnership_PHD_July-Dec24,1807305,Alcohol,2024-01-01,303573,189
Abbott,ORD-00287639_Abbott_Freestyle Libre Healthy Diet_2024,1805926,Food,2024-01-01,303025,8183
Sainsburys,ORD-00293866_Sainsbury's Q2 TTD Campaign 2025,2003631,Supermarket,2025-01-01,303009,5569
Barretine Spring + Summer GW,ORD-00291503_Barretine Digital 2025_ 1.04 - 29.06_GW,1983385,Gardening,2025-01-01,303000,3634
Disney+,PG_Digital_Disney_Zenith_InsideOut2MayJun-2024,1639286,Entertainment,2024-01-01,301772,4301
bet365,ORD-00291479_bet365 H1 2025,1900569,Gambling,2025-01-01,300240,455
Disney+,PG_Disney+_Zenith_The Bear S3 2024,1671677,Entertainment,2024-01-01,300175,128
Disney+,PG_Disney_Inside Out 2 EHV_Aug 24,1731379,Entertainment,2024-01-01,300091,136
bet365,ORD-00291479_bet365 H1 2025,1900569,Gambling,2025-01-01,300039,608
Itsu ,ORD-00287826_Direct - Itsu_Yonder_Summer Brief_Sept 2024,1748340,Food,2024-01-01,300014,1765
Inspired Villages Group Limited,ORD-00284044_Inspired Villages Soap Awards,1701686,Entertainment,2024-01-01,300011,4689
Ristorante,ORD-00294283_Ristorante_WM_partnership_July-Sept2025,2069878,Food,2025-01-01,300010,5473
Apple,ORD-00292815/ORD-00292816_Direct_Apple_YourFriendsandNeighbours_ RT_April_LD,1980492,Entertainment,2025-01-01,300010,74
Aldi,PG_Aldi_Valentines Day Feb,1907210,Food,2025-01-01,300006,3159
TUI,ORD-00288923_TUI_Lanzarote Digi campaign - October 24,1794257,Travel,2024-01-01,299995,544
Princess Cruises ,ORD-00277435_Princess 24 partnership_7 STars_Dec-May,1525755,Travel,2024-01-01,299991,226
bet365,ORD-00291479_bet365 H1 2025,1900569,Gambling,2025-01-01,299987,579
Great Rail Journeys,ORD-00291417_GRJ_IMA_GW Q1 print digi,1909421,Travel,2025-01-01,299920,209
Beko,ORD-00293616_Beko_RunningTotal_GFKitchenvalue2025,1973988,Tech,2025-01-01,299906,1016
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,299174,17495
Carte D'Or,ORD-00297006 Direct_Digi_Carte D'Or_Q4 2025,2174656,Food,2025-01-01,299116,568
Hyundai Motor (UK),ORD-00291653_Hyundai_Regional_Innocean_Q1_25,1895619,Motoring,2025-01-01,298252,2514
Renault,ORD-00298920/ORD-00298921_Direct_Alpine_MGOMD_TG_Q1_EC,2256697,Motoring,2026-01-01,298051,116
Alpine,ORD-00294937_Direct_Alpine_MGOMD_TG_Q3_LD,2085964,Motoring,2025-01-01,297203,402
Alpine,ORD-00294937_Direct_Alpine_MGOMD_TG_Q3_LD,2085964,Motoring,2025-01-01,297011,57
National Geographic,PG_Nat Geo_Zenith_David Blaine_24/03/25,1943612,Entertainment,2025-01-01,296300,254
Finish,ORD-00285482 & ORD-00285447_Finish_Zenith_Q3,1696536,Food,2024-01-01,294625,25
Lego UK,ORD-00285443_LEGO_INITIATIVE_DRIVE_JUNE/JULY,1722584,Parenting,2024-01-01,292562,518
National Geographic,PG_Nat Geo_Zenith_David Blaine_24/03/25,1943612,Entertainment,2025-01-01,292073,5613
bet365,ORD-00291479_bet365 H1 2025,1900569,Gambling,2025-01-01,290128,473
Diageo,ORD-00281883 & ORD-00281885 & ORD-00282491 & ORD-00282487_ Diageo_H2 Partnership_PHD_Mar-June24 (Gins),1601153,Alcohol,2024-01-01,289269,1210
Diageo,ORD-00281883 & ORD-00281885 & ORD-00282491 & ORD-00282487_ Diageo_H2 Partnership_PHD_Mar-June24 (Gins),1601153,Alcohol,2024-01-01,289268,1427
Fortum & Mason,PG_Fortnum&Mason_Xmas_GF_Adnami Skin+MMA_Nov-Dec24,1837413,Food,2024-01-01,287589,4889
Superdrug,ORD-00298203_Direct_Digi_Superdrug_GoodFood_Jan2026,2232195,Health,2026-01-01,286519,4532
Apple,"ORD-00292528,_ORD-00292529_Direct_Apple_MGOMD_RT_Marcomms_FebMarchLD",1965163,Entertainment,2025-01-01,285727,526
Apple,ORD-00295569_Direct_Apple_SlowHorsesS5_ RT_Sept_LD,2125041,Entertainment,2025-01-01,285703,4364
Apple,ORD-00292815/ORD-00292816_Direct_Apple_YourFriendsandNeighbours_ RT_April_LD,1980492,Entertainment,2025-01-01,285653,2045
Apple,ORD-00291957_Direct_Apple_TheGorge RT_Feb_LD,1926005,Entertainment,2025-01-01,285646,2537
BSskyb,ORD-00295733_Sky X Netflix_Zenith_Partnership_September,2125057,Entertainment,2025-01-01,284455,0
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,284153,167
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,284106,252
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,284027,364
Lidl,ORD-00288216_Direct_Lidl AppleandPears_sept24_LD,1768361,Supermarket,2024-01-01,283797,4134
Chery,ORD-00297057 Chery Lead Gen_Top Gear Direct_Q4 2025,2228863,Motoring,2025-01-01,283324,2360
Waitrose,PG_Waitrose_MGOMD_No1_Oct_LD,2139412,Supermarket,2025-01-01,283211,4520
Live Nation,ORD-00285196_Crowded House Digital Q3,1691154,Entertainment,2024-01-01,282357,158
ITV,ITV_EMX_Q4 24 Planning_Digital and Print ,1852125,Entertainment,2024-01-01,281061,5924
The Walt Disney Company,PG_Disney_Elio_June_RON_02/06/25,2040079,Entertainment,2025-01-01,277795,2758
Not On The High Street,Not On The High Street Xmas 24,1814035,Entertainment,2024-01-01,277003,188
Waitrose,ORD-00289156_Direct_Waitrose_MGOMD_No.1_Oct_LD,1781537,Supermarket,2024-01-01,276892,295
Waitrose,ORD-00289156_Direct_Waitrose_MGOMD_No.1_Oct_LD,1781537,Supermarket,2024-01-01,276872,264
Waitrose,ORD-00289156_Direct_Waitrose_MGOMD_No.1_Oct_LD,1781537,Supermarket,2024-01-01,276848,183
Waitrose,ORD-00289156_Direct_Waitrose_MGOMD_No.1_Oct_LD,1781537,Supermarket,2024-01-01,276818,220
Waitrose,ORD-00289156_Direct_Waitrose_MGOMD_No.1_Oct_LD,1781537,Supermarket,2024-01-01,276747,288
Apple,ORD-00289207 _Direct_Apple_MGOMD_RT_Disclaimers_Oct_LD,1863561,Entertainment,2024-01-01,275865,90
bet365,ORD-00291479_bet365 H1 2025,1900569,Gambling,2025-01-01,275184,236
Aldi,PG_Aldi_Valentines Day Feb,1907210,Food,2025-01-01,274929,5076
Damart,PG_Damart_26_IMAud_Oct -Nov 24,1807189,Supermarket,2024-01-01,271654,0
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,270958,199
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,270945,295
Jaguar Landrover,ORD-00297215_Direct - JLR_H&S_RSV-Nov-Dec_LD,2185133,Motoring,2025-01-01,270835,213
Jaguar Landrover,ORD-00297215_Direct - JLR_H&S_RSV-Nov-Dec_LD,2185133,Motoring,2025-01-01,270832,463
Jaguar Landrover,ORD-00297215_Direct - JLR_H&S_RSV-Nov-Dec_LD,2185133,Motoring,2025-01-01,270831,182
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,270555,246
Diageo,ORD-Multi_Diageo_H1 24 Gins Partnership_PHD_July-Dec24,1807305,Alcohol,2024-01-01,270541,239
Birds Eye,ORD-00298551_Birds Eye Peas - Zenith - March - April,2277873,Food,2026-01-01,270390,1103
Hays Travel - June ,ORD-00294354 Hays Travel_ ARM_ Digital_ Ambassador_ june,2034225,Travel,2025-01-01,269963,85
AEG,ORD-00292038_Diana Ross AEG Digital 2025 Q1,1938716,Entertainment,2025-01-01,268909,409
Aldi,Aldi_Sept & Oct_Olive_GoodFood_Specially Selected,2108083,Supermarket,2025-01-01,268805,88
Mars,ORD-00292262_MarsSprinbake2025_M&MS_Jan-April,1924981,Food,2025-01-01,266665,856
Finish,ORD-00295079_Finish_Zenith_2025/26 partnership - July-June,2202971,Food,2025-01-01,264608,5207
Apple,ORD-00292815/ORD-00292816_Direct_Apple_YourFriendsandNeighbours_ RT_April_LD,1980492,Entertainment,2025-01-01,263639,2192
Disney+,PG_Disney+_Zenith_The Bear S3 2024,1671677,Entertainment,2024-01-01,263431,5135
Skoda,ORD-00271360 _Direct_ SkodaFleet_PHD_H2_2023_LD,1466969,Motoring,2024-01-01,263387,3498
HBO Max,ORD-00299155_HBOMAX_Radio_Times_2026,2293143,Entertainment,2026-01-01,260423,6703
Superdrug,ORD-00298203_Direct_Digi_Superdrug_GoodFood_Jan2026,2232195,Health,2026-01-01,260406,282
Sarson's,ORD-00288776_Sarsons Vinegar_Brewed for Food Burst 2_Food_Sep24,1789636,Food,2024-01-01,260038,213
Sarson's,ORD-00288776_Sarsons Vinegar_Brewed for Food Burst 2_Food_Sep24,1789636,Food,2024-01-01,260035,256
Sarson's,ORD-00288776_Sarsons Vinegar_Brewed for Food Burst 2_Food_Sep24,1789636,Food,2024-01-01,260028,414
Sarson's,ORD-00288776_Sarsons Vinegar_Brewed for Food Burst 2_Food_Sep24,1789636,Food,2024-01-01,260005,120
Sarson's,ORD-00288776_Sarsons Vinegar_Brewed for Food Burst 2_Food_Sep24,1789636,Food,2024-01-01,260002,612
Renault,ORD-00298920/ORD-00298921_Direct_Alpine_MGOMD_TG_Q1_EC,2256697,Motoring,2026-01-01,259278,136
Lidl,ORD-00288216_Direct_Lidl AppleandPears_sept24_LD (Correct),1761875,Supermarket,2024-01-01,258949,3715
Renault,ORD-00298920/ORD-00298921_Direct_Alpine_MGOMD_TG_Q1_EC,2256697,Motoring,2026-01-01,258831,368
The Walt Disney Company,Order_PG_Disney_Zenith_Hoppers,2259041,Entertainment,2026-01-01,257232,2087
Jaguar Landrover,ORD-00292004 Direct - AUV_JLR_H&S_Feb-April 2025,1908230,Motoring,2025-01-01,256831,336
Hendricks ,ORD-00294564_Hendrick's Display - June/July 2025,2048762,Alcohol,2025-01-01,255167,508
Alpen,ORD-00277683_Alpen_GetMeMedia_Nov-Sept,1601248,Food,2024-01-01,254928,417
Pernod Ricard,ORD-00284976_Direct_MGOMD_Pernod_Absolut_Alwayson_Jul-Dec_LD (Passionfruit),1680354,Alcohol,2024-01-01,253000,822
bet365,ORD-00298020_bet365 H1 2026,2238101,Gambling,2026-01-01,250137,61
Abarth,ORD-00293456_Abarth 600E_Q2_TG,1974081,Motoring,2025-01-01,250061,2285
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,250037,77
bet365,ORD-00298020_bet365 H1 2026,2238101,Gambling,2026-01-01,250035,65
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,250021,83
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,250019,97
Winalot,Winalot 2024_OpenMind_WPP,1647224,Pets,2024-01-01,250016,67
Winalot,Winalot 2024_OpenMind_WPP,1647224,Pets,2024-01-01,250014,80
Mars,ORD-00292262_MarsSprinbake2025_M&MS_Jan-April,1924981,Food,2025-01-01,250007,40
bet365,ORD-00298020_bet365 H1 2026,2238101,Gambling,2026-01-01,250006,92
Disney+,PG_Disney_Inside Out 2 EHV_Aug 24,1731379,Entertainment,2024-01-01,250004,2045
Astus,ORD-00289352_Yorkshire Provender Q4 2024,1875587,Food,2024-01-01,250002,140
Astus,ORD-00289352_Yorkshire Provender Q4 2024,1875587,Food,2024-01-01,250002,457
Morrisons,ORD-00283323_Morrisons_Wavemaker_May-Nov 2024 partnership,1640453,Supermarket,2024-01-01,250002,2104
Finish,ORD-00285482 & ORD-00285447_Finish_Zenith_Q3,1696536,Food,2024-01-01,250001,83
Centrum,ORD-00298340/ORD-00298146/ Centrum2026Partnership_Spark,2260270,Health,2026-01-01,250000,703
Chery,ORD-00297057 Chery Lead Gen_Top Gear Direct_Q4 2025,2228863,Motoring,2025-01-01,249998,111
Morrisons,ORD-00283323_Morrisons_Wavemaker_May-Nov 2024 partnership,1640453,Supermarket,2024-01-01,249995,3706
Chery,ORD-00297057 Chery Lead Gen_Top Gear Direct_Q4 2025,2228863,Motoring,2025-01-01,249986,99
Nacon,ORD-00287184 TestDriveUnlimited_IM_Gaming/TG/RT_Sept24,1830729,Gaming,2024-01-01,249984,5954
Princess Cruises ,ORD-00277435_Princess 24 partnership_7 STars_Dec-May,1525755,Travel,2024-01-01,249915,163
Apple,ORD-00290658/ORD-00290661_Direct_Apple_Iphone14Pro RT_LPTO_Nov-Dec-LD,1869545,Entertainment,2024-01-01,248280,121
The Walt Disney Company,PG_Disney_Elio_June_RON_02/06/25,2040079,Entertainment,2025-01-01,248151,5179
The Walt Disney Company,PG_NatGeo_Zenith_Top_Gun_19th_September,2125006,Entertainment,2025-01-01,247584,109
Lidl,PMP_Lidl_OMD_Fruit_playstream_22/5-22/5,1681166,Supermarket,2024-01-01,246022,3799
The Walt Disney Company,Order_PG_Disney_Zenith_Hoppers,2259041,Entertainment,2026-01-01,245908,4982
AMEX,PG_AMEX_IPG Kinesso_H1 Gold & Platinum_18/03-26/05/26_RT,2289056,Finance,2026-01-01,244491,6287
Visit Orlando,ORD-00295890 Visit Orlando Display,2161910,Travel,2025-01-01,243190,144
Damart - Black Friday,PG_Damart_26_IMAud_Black-Friday,1835356,Supermarket,2024-01-01,241217,0
AMEX,PG_AMEX_IPG Kinesso_H1 Gold & Platinum_18/03-26/05/26_RT,2289056,Finance,2026-01-01,240001,4913
TUI,ORD-00286345 _TUI_Marella Cruise digi campaign - Aug/Sep 2024,1716978,Travel,2024-01-01,239301,2434
Sky,ORD-00291224_sky screen test Lockerbie,1887190,Entertainment,2024-01-01,238890,5640
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,238828,321
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,238536,503
Disney+,PG_Disney_Inside Out 2 EHV_Aug 24,1731379,Entertainment,2024-01-01,236704,4042
bet365,ORD-00285518_bet365 H2 2024,1698422,Gambling,2024-01-01,235308,8527
bet365,ORD-00285518_bet365 H2 2024,1698422,Gambling,2024-01-01,235302,8408
bet365,ORD-00285518_bet365 H2 2024,1698422,Gambling,2024-01-01,235299,7312
bet365,ORD-00285518_bet365 H2 2024,1698422,Gambling,2024-01-01,235297,7979
bet365,ORD-00278321 _bet365 H1 2024,1524821,Gambling,2024-01-01,235297,6413
bet365,ORD-00285518_bet365 H2 2024,1698422,Gambling,2024-01-01,235294,8577
bet365,ORD-00285518_bet365 H2 2024,1698422,Gambling,2024-01-01,235294,8421
Diageo,ORD-Multi_Diageo_H1 24 Gins Partnership_PHD_July-Dec24,1807305,Alcohol,2024-01-01,234832,973
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,232779,93
De'Longhi,ORD-00287829_De'Longhi Manual H2 24,1785683,Food,2024-01-01,232718,1998
Mattel UK,ORD-00295966_Mattel_UM_Mattel Hot Wheels_15.09,2139285,Entertainment,2025-01-01,231461,2199
Apple,ORD-00288149+ORD-00287960 Apple Slow Horses x BFI,1770104,Entertainment,2024-01-01,230776,6271
Paramount+,Paramount+_Wavemaker_High Stakes Drama_APP,1808893,Entertainment,2024-01-01,228637,4695
Paramount+,Paramount+_Wavemaker_High Stakes Drama_APP,1808893,Entertainment,2024-01-01,228587,3897
Apple,ORD-00293816_Direct_MGOMD_Apple_FountainOfYouth_ RT_May_LD,2009825,Entertainment,2025-01-01,228567,2090
Apple,ORD-00290229/ORD-00290227Direct_Apple_MGOMD_RT_BadSisters_Nov_LD,1869269,Entertainment,2024-01-01,227181,2041
Kerrygold,ORD-00299430_Kerrygold_PHD_GF_StPatricksDay_Skin&MMA_Mar25,2280231,Food,2026-01-01,225162,3834
Florette,ORD-00292672_Florette_Caratleeds_Partnership_May-July2025,1993798,Food,2025-01-01,225098,381
Florette,ORD-00292672_Florette_Caratleeds_Partnership_May-July2025,1993798,Food,2025-01-01,225074,436
Uzbekistan Food Festival,ORD-00293966_Direct_Uzbekistan_Dars Consulting_Q2,2049227,Food,2025-01-01,224783,285
bet365,ORD-00294741_bet365 H2 2025,2079425,Gambling,2025-01-01,222300,63
Apple,"ORD-00292528,_ORD-00292529_Direct_Apple_MGOMD_RT_Marcomms_FebMarchLD",1965163,Entertainment,2025-01-01,222239,1100
Marks & Spencer,ORD-00290864 Direct-M&S-Mindshare- Xmas digital - 4th November - 28th November,1876342,Food,2024-01-01,222234,4495
Aldi,ORD-00295386_Direct_Aldi_August_Digi_2025,2080311,Supermarket,2025-01-01,222225,6164
Hendricks ,ORD-00294564_Hendrick's Display - June/July 2025,2048762,Alcohol,2025-01-01,222198,4472
Centrum,ORD-00298340/ORD-00298146/ Centrum2026Partnership_Spark,2260270,Health,2026-01-01,221517,74
Live Nation,ORD-00286341_Janet Jackson July,1701945,Entertainment,2024-01-01,221043,104
Wargaming Group Ltd,ORD-00278599_WarThunder_IM_Hist/RT_2024,1596290,Gaming,2024-01-01,220802,63
Finish,ORD-00285482 & ORD-00285447_Finish_Zenith_Q3,1696536,Food,2024-01-01,220630,1623
Apple,ORD-00290229/ORD-00290227Direct_Apple_MGOMD_RT_BadSisters_Nov_LD,1869269,Entertainment,2024-01-01,220002,5225
Dacia,ORD-00294469 _Direct_MGOMD_Dacia_Spring_TG_EV_Awards_LD,2044326,Motoring,2025-01-01,218967,2043
Immediate Media,Amazon XCM - Eclipse Takeover. 20/11/25,2187664,Retail,2025-01-01,218856,0
Dacia,ORD-00294469 _Direct_MGOMD_Dacia_Spring_TG_EV_Awards_LD,2044326,Motoring,2025-01-01,218017,5729
Kerrygold,ORD-00292017_Kerrygold_PHDManchester_partnership2025,1959016,Food,2025-01-01,217440,495
Pernod Ricard,ORD-00288373_Direct_MGOMD_Pernod_Absolut/Kahlua_Q4_LD,1785564,Alcohol,2024-01-01,216756,1093
Wargaming Group Ltd,ORD-00278599_WarThunder_IM_Hist/RT_2024,1596290,Gaming,2024-01-01,215417,2628
Finish,ORD-00295079_Finish_Zenith_2025/26 partnership - July-June,2202971,Food,2025-01-01,213567,5558
Finish,ORD-00295079_Finish_Zenith_2025/26 partnership - July-June,2202971,Food,2025-01-01,213565,4639
Immediate Media,Amazon XCM - Eclipse Takeover. 20/11/25,2187664,Retail,2025-01-01,212809,1002
Warner - Tom Kerridge,ORD-00287390_Warner_TomKerridgeShow_Sep,1775134,Entertainment,2024-01-01,211122,1889
Mattel UK,ORD-00295966_Mattel_UM_Mattel Hot Wheels_15.09,2139285,Entertainment,2025-01-01,211082,1993
Finish,ORD-00295079_Finish_Zenith_2025/26 partnership - July-June,2202971,Food,2025-01-01,210387,22
Positec Worx,ORD-00288027/ORD-00288030_Positec Q4 Burst - Worx,1876392,Gardening,2024-01-01,210000,615
Finish,ORD-00295079_Finish_Zenith_2025/26 partnership - July-June,2202971,Food,2025-01-01,209966,30
Hays Travel,ORD-00295430 Hays Travel_ All Response_ Digital_ NCL_Aug,2092709,Travel,2025-01-01,209457,234
Ford,ORD-00294423 & ORD-00294461_Direct_ Digi_Ford Power Promise Part 1,2030355,Motoring,2025-01-01,209343,52
