segment_name,platform,reach,category,description,plain_english,code,frequency,window,icon_key
Herbs & Spices Fans,Permutive,1198828,Food & Drink,This is a segment of users who have browsed for herbs & spices content at least 2 times at any point in time.,Regularly browses herbs & spices content,7597,R,All Time,food-drink
Low GI Fans,Permutive,43623,Food & Drink,This is a segment of users who have browsed for low gi content at least 2 times at any point in time.,Regularly browses low gi content,22093,R,All Time,food-drink
Summer Family Recipes Fans,Permutive,43439,Food & Drink,This is a segment of users who have browsed for summer family recipes content at least 2 times at any point in time.,Regularly browses summer family recipes content,8472,R,All Time,food-drink
Family & Together-Time Enthusiasts Fans,Permutive,2969814,ATRIA,This is a segment of users who have browsed for family & together-time enthusiasts content at any point in time.,Browses family & together-time enthusiasts content,252167,,,atria
Lego Fans,Permutive,41861,Parenting,This is a segment of users who have browsed for lego content at least once at any point in time.,Browses lego content,253289,,,parenting
TV/Film Reviewers Fans,Permutive,144083,Arts & Entertainment,This is a segment of users who have browsed for tv/film reviewers content at least 2 times at any point in time.,Regularly browses tv/film reviewers content,56614,R,All Time,arts-entertainment
Travel Fans,Permutive,1047016,Food & Drink,This is a segment of users who have browsed for travel content at least 2 times at any point in time.,Regularly browses travel content,69805,R,All Time,food-drink
Eat like an Athlete Fans,Permutive,255933,Food & Drink,This is a segment of users who have browsed for eat like an athlete content at least 2 times at any point in time.,Regularly browses eat like an athlete content,8417,R,All Time,food-drink
General Christmas Food Planners Fans,Permutive,796476,Food & Drink,This is a segment of users who have browsed for general christmas food planners content at least 2 times at any point in time.,Regularly browses general christmas food planners content,10823,R,All Time,food-drink
Fantasy,Permutive,518492,Arts & Entertainment,This is a segment of users who have browsed for fantasy content at least once at any point in time.,Occasionally browses fantasy content,16117,O,All Time,arts-entertainment
croft sherry dec'21 Fans,Permutive,3,Uncategorised,This is a segment of users who have browsed for croft sherry dec'21 content at any point in time.,Browses croft sherry dec'21 content,92262,,,uncategorised
Traces Fans,Permutive,2356,Arts & Entertainment,This is a segment of users who have browsed for traces content at least 2 times at any point in time.,Regularly browses traces content,95747,R,All Time,arts-entertainment
Canyon Fans,Permutive,1186,Sports,This is a segment of users who have browsed for canyon content at least once at any point in time.,Occasionally browses canyon content,8267,O,All Time,sports
Peugeot Fans,Permutive,131934,Auto,This is a segment ofusers who accessed our content from a Christchurch geolocation in the last 30 days.,Regularly browses related content,10378,R,All Time,auto
Users who have visited Login page Fans,Permutive,261,RT,This is a segment of users who have browsed for users who have visited login page content at any point in time.,Browses users who have visited login page content,38693,,,rt
How to maintain the garden Fans,Permutive,121584,Gardening,This is a segment of users who have browsed for how to maintain the garden content at least once at any point in time.,Occasionally browses how to maintain the garden content,8141,O,All Time,gardening
Tech Savvy Gardeners Lookalike,Permutive,263921,Gardening,This is a lookalike segment based on the 'Tech Savvy Gardeners Fans' seed segment.,Occasionally browses related content,220986,O,All Time,gardening
Reviewers Lookalike,Permutive,717983,Gardening,This is a lookalike segment based on the 'Reviewers Fans' seed segment.,Regularly browses related content,187591,R,All Time,gardening
Party food fans,Permutive,1134472,Food & Drink,This is a segment of users who have browsed for party food fans content at least 2 times at any point in time.,Regularly browses party food fans content,22345,R,All Time,food-drink
Calcium Fans,Permutive,1004428,Food & Drink,This is a segment of users who have browsed for calcium content at least 2 times in the last 30 days.,Regularly browses calcium content,136121,R,30 Days,food-drink
Home Improvers Fans,Permutive,426195,Interest,This is a segment of users who have browsed for home improvers content at least 2 times at any point in time.,Regularly browses home improvers content,120685,R,All Time,interest
Itvx fans,Permutive,517696,Arts & Entertainment,This is a segment of users who have browsed for itvx fans content at least 2 times in the last 90 days.,Regularly browses itvx fans content,187082,R,90 Days,arts-entertainment
Occasional Health Conscious Foodies Fans,Permutive,3440441,Food & Drink,This is a segment of users who have browsed for occasional health conscious foodies content at least 2 times at any point in time.,Regularly browses occasional health conscious foodies content,41709,R,60 days,food-drink
Tesla Fans Lookalike,Permutive,80730,Auto,This is a lookalike segment based on the 'Tesla Fans' seed segment.,Occasionally browses related content,241761,O,All Time,auto
Bike brand fans,Permutive,36544,Sports,This is a segment of users who have browsed for bike brand fans content at least once at any point in time.,Occasionally browses bike brand fans content,29737,O,All Time,sports
British TV/Film Lookalike,Permutive,3296140,Arts & Entertainment,This is a lookalike segment based on the 'British TV/Film Fans' seed segment.,Regularly browses related content,33983,R,All Time,arts-entertainment
Ginger Fans,Permutive,492226,Food & Drink,This is a segment of users who have browsed for ginger content at least 2 times at any point in time.,Regularly browses ginger content,7600,R,All Time,food-drink
History Extra referred by Facebook Fans,Permutive,282,Uncategorised,This is a segment of users who have browsed for history extra referred by facebook content at any point in time.,Browses history extra referred by facebook content,23690,,,uncategorised
Feeding Products Fans,Permutive,2789,Parenting,This is a segment of users who have browsed for feeding products content at least 2 times in the last 90 days.,Regularly browses feeding products content,22210,R,90 Days,parenting
TV Listings Fans,Permutive,1080235,Arts & Entertainment,This is a segment of users who have browsed for tv listings content at least 2 times at any point in time.,Regularly browses tv listings content,6867,R,All Time,arts-entertainment
Historical Games Fans,Permutive,14254,Gaming,This is a segment of users who have browsed for historical games content at least once at any point in time.,Occasionally browses historical games content,216506,O,All Time,gaming
Space Fans,Permutive,28294,Interest,This is a segment of users who have browsed for space content at least once at any point in time.,Occasionally browses space content,31061,O,All Time,interest
Cinnamon Fans,Permutive,435407,Food & Drink,This is a segment of users who have browsed for cinnamon content at least 2 times at any point in time.,Regularly browses cinnamon content,7599,R,All Time,food-drink
Regular Easy skill level bakers Fans,Permutive,14655,Food & Drink,This is a segment of users who have browsed for regular easy skill level bakers content at least 2 times at any point in time.,Regularly browses regular easy skill level bakers content,25752,R,1 Month,food-drink
Action Adventure Games Fans,Permutive,165784,Gaming,This is a segment of users who have browsed for action adventure games content at least once at any point in time.,Occasionally browses action adventure games content,207895,O,All Time,gaming
Amazon Prime Fans,Permutive,124421,Arts & Entertainment,This is a segment of users who have browsed for amazon prime content at least 2 times at any point in time.,Regularly browses amazon prime content,30166,R,All Time,arts-entertainment
Competition Fans,Permutive,43744,Arts & Entertainment,This is a segment of users who have browsed for competition content at least once at any point in time.,Occasionally browses competition content,7635,O,All Time,arts-entertainment
Good Food Fitness Fans,Permutive,1,Food & Drink,This is a segment of users who have browsed for good food fitness content at least once in the last 90 days.,Occasionally browses good food fitness content,240073,O,90 Days,food-drink
Sims Franchise Fans,Permutive,23212,Gaming,This is a segment of users who have browsed for sims franchise content at any point in time.,Browses sims franchise content,243585,,,gaming
Serves 2 Fans,Permutive,1628258,Food & Drink,This is a segment of users who have browsed for serves 2 content at least 2 times at any point in time.,Regularly browses serves 2 content,23781,R,All Time,food-drink
Recipes containing Eggs Fans,Permutive,942342,Food & Drink,This is a segment of users who have browsed for recipes containing eggs content at least 5 times at any point in time.,Frequently browses recipes containing eggs content,25163,F,All Time,food-drink
School Lunches Fans,Permutive,11775,Food & Drink,This is a segment of users who have browsed for school lunches content at least once at any point in time.,Occasionally browses school lunches content,8406,O,All Time,food-drink
Japanese Fans,Permutive,97513,Food & Drink,This is a segment of users who have browsed for japanese content at least 2 times at any point in time.,Regularly browses japanese content,61297,R,All Time,food-drink
The Walking Dead Fans,Permutive,25117,Arts & Entertainment,This is a segment of users who have browsed for the walking dead content at least once at any point in time.,Occasionally browses the walking dead content,20749,O,All Time,arts-entertainment
Family Meal Planners -Food & Drink -Analytics-Food Fans,Permutive,30,Uncategorised,This is a segment of users who have browsed for family meal planners -food & drink -analytics-food content at any point in time.,Browses family meal planners -food & drink -analytics-food content,15324,,,uncategorised
SEAT Fans,Permutive,13077,Auto,This is a segment of users who have browsed for seat content at least 2 times at any point in time.,Regularly browses seat content,10406,R,All Time,auto
Adventurous cooks Fans,Permutive,49629,GF,This is a segment of users who have browsed for adventurous cooks content at any point in time.,Browses adventurous cooks content,21645,,,gf
First Person Shooters Games Fans,Permutive,500795,Gaming,This is a segment of users who have browsed for first person shooters games content at least once at any point in time.,Occasionally browses first person shooters games content,207907,O,All Time,gaming
guillermo del toro movies Fans,Permutive,5297,Arts & Entertainment,This is a segment of users who have browsed for guillermo del toro movies content at least 2 times at any point in time.,Regularly browses guillermo del toro movies content,90206,R,All Time,arts-entertainment
Fifa franchise Fans,Permutive,43394,Gaming,This is a segment of users who have browsed for fifa franchise content at least once at any point in time.,Occasionally browses fifa franchise content,194280,O,All Time,gaming
Dopamine Diet Fans,Permutive,1467,Food & Drink,This is a segment of users who have browsed for dopamine diet content at least 2 times at any point in time.,Regularly browses dopamine diet content,22148,R,All Time,food-drink
Simulators Fans Lookalike,Permutive,108205,Gaming,This is a lookalike segment based on the 'Simulators Fans' seed segment.,Regularly browses related content,121992,R,All Time,gaming
SRAM Fans,Permutive,583,Sports,This is a segment of users who have browsed for sram content at least once at any point in time.,Occasionally browses sram content,8265,O,All Time,sports
Mountain Biking Fans,Permutive,15093,Sports,This is a segment of users who have browsed for mountain biking content at least 2 times at any point in time.,Regularly browses mountain biking content,8127,R,All Time,sports
Lights & Visibility Fans,Permutive,48444,Sports,This is a segment of users who have browsed for lights & visibility content at least 2 times at any point in time.,Regularly browses lights & visibility content,38277,R,All Time,sports
Marin Fans,Permutive,594658,Sports,This is a segment of users who have browsed for marin content at least once at any point in time.,Occasionally browses marin content,8298,O,All Time,sports
Countryfile Fans,Permutive,8353,Interest,This is a segment of users who have browsed for countryfile content at least once at any point in time.,Occasionally browses countryfile content,15801,O,All Time,interest
Turkish Fans,Permutive,15324,Food & Drink,This is a segment of users who have browsed for turkish content at least once at any point in time.,Occasionally browses turkish content,22142,O,All Time,food-drink
Fashion Interest Fans,Permutive,556177,Fashion & Beauty,This is a segment of users who have browsed for fashion interest content at least once at any point in time.,Occasionally browses fashion interest content,7470,O,All Time,fashion-beauty
Recovery Fans,Permutive,35845,Sports,This is a segment of users who have browsed for recovery content at least once at any point in time.,Occasionally browses recovery content,8449,O,All Time,sports
Nissan Fans,Permutive,65843,Auto,This is a segment of users who have browsed for nissan content at least 2 times at any point in time.,Regularly browses nissan content,10369,R,All Time,auto
women's history Fans,Permutive,29,History Extra,This is a segment of users who have browsed for women's history content at any point in time.,Browses women's history content,22266,,,history-extra
Seafood Fans,Permutive,3255191,Food & Drink,This is a segment of users who have browsed for seafood content at least 2 times at any point in time.,Regularly browses seafood content,33331,R,All Time,food-drink
Christmas Meal Planners Fans,Permutive,104714,Food & Drink,This is a segment of users who have browsed for christmas meal planners content at least 2 times at any point in time.,Regularly browses christmas meal planners content,252841,R,December 25,food-drink
Parent Foodies Fans,Permutive,29671,Food & Drink,This is a segment of users who have browsed for parent foodies content at least 2 times at any point in time.,Regularly browses parent foodies content,8231,R,All Time,food-drink
"Breakfast, Brunch & Spicy Food Fans",Permutive,3648513,Food & Drink,"This is a segment of users who have browsed for breakfast, brunch & spicy food content at least 5 times at any point in time.","Frequently browses breakfast, brunch & spicy food content",27113,F,All Time,food-drink
History Extra Reading Fans Lookalike,Permutive,1520169,Arts & Entertainment,This is a lookalike segment based on the 'History Extra Reading Fans' seed segment.,Occasionally browses related content,123044,O,All Time,arts-entertainment
Vauxhall Fans,Permutive,18463,Auto,This is a segment of users who have browsed for vauxhall content at least 2 times at any point in time.,Regularly browses vauxhall content,10361,R,All Time,auto
VW Fans,Permutive,87657,Auto,This is a segment of users who have browsed for vw content at least 2 times at any point in time.,Regularly browses vw content,10358,R,All Time,auto
Planet Earth Fans,Permutive,8311,Interest,This is a segment of users who have browsed for planet earth content at least once at any point in time.,Occasionally browses planet earth content,31063,O,All Time,interest
News section visitors RT Lookalike,Permutive,55182,Gaming,This is a lookalike segment based on the 'News section visitors RT Fans' seed segment.,Occasionally browses related content,208049,O,All Time,gaming
Seeds Fans,Permutive,95190,Food & Drink,This is a segment of users who have browsed for seeds content at least once at any point in time.,Occasionally browses seeds content,272386,O,All Time,food-drink
Maserati Fans,Permutive,12276,Auto,This is a segment of users who have browsed for maserati content at least once at any point in time.,Occasionally browses maserati content,28710,O,All Time,auto
Car Intenders Fans,Permutive,143668,Auto,This is a segment of users who have browsed for car intenders content at least 2 times at any point in time.,Regularly browses car intenders content,10315,R,All Time,auto
Pickle Fans,Permutive,104356,Food & Drink,This is a segment of users who have browsed for pickle content at least 2 times at any point in time.,Regularly browses pickle content,165191,R,All Time,food-drink
Luxury Cars Fans,Permutive,110399,Auto,This is a segment of users who have browsed for luxury cars content at least 2 times at any point in time.,Regularly browses luxury cars content,10299,R,All Time,auto
Amazon Fans,Permutive,46748,Arts & Entertainment,This is a segment of users who have browsed for amazon content at least once at any point in time.,Occasionally browses amazon content,13437,O,All Time,arts-entertainment
Cycling Fans,Permutive,601,Sports,This is a segment of users who have browsed for cycling content at least 2 times at any point in time.,Regularly browses cycling content,6582,R,All Time,sports
GPS Fans,Permutive,4136,Sports,This is a segment of users who have browsed for gps content at least once at any point in time.,Occasionally browses gps content,7436,O,All Time,sports
Mazda Fans,Permutive,9805,Auto,This is a segment of users who have browsed for mazda content at least 2 times at any point in time.,Regularly browses mazda content,10412,R,All Time,auto
Entertainment Fans,Permutive,656429,Arts & Entertainment,This is a segment of users who have browsed for entertainment content at least 2 times in the last 90 days.,Regularly browses entertainment content,124264,R,90 Days,arts-entertainment
Photography 1P Fans,Permutive,59730,Interests,This is a segment of users who have browsed for photography 1p content at least once at any point in time.,Occasionally browses photography 1p content,33016,O,All Time,interests
Saddle Fans,Permutive,985,Sports,This is a segment of users who have browsed for saddle content at least once at any point in time.,Occasionally browses saddle content,6180,O,All Time,sports
Specialized Fans,Permutive,119,Sports,This is a segment of users who have browsed for specialized content at least 2 times at any point in time.,Regularly browses specialized content,7725,R,All Time,sports
Sports Games Fans,Permutive,7896,Gaming,This is a segment of users who have browsed for sports games content at least once at any point in time.,Occasionally browses sports games content,207924,O,All Time,gaming
Edinburgh Geolocation,Permutive,103856,Geo targeting,This is a segment of users who accessed our content from an Edinburgh geolocation in the last 30 days.,Occasionally browses related content,185976,O,30 Days,geo-targeting
Radio Fans,Permutive,241592,Arts & Entertainment,This is a segment of users who have browsed for radio content at least once at any point in time.,Occasionally browses radio content,7531,O,All Time,arts-entertainment
TV Fans,Permutive,3112631,Arts & Entertainment,This is a segment of users who have browsed for tv content at least 2 times at any point in time.,Regularly browses tv content,11662,R,All Time,arts-entertainment
Weekend Evening Viewing Fans,Permutive,106106,Arts & Entertainment,This is a segment of users who have browsed for weekend evening viewing content at least once at any point in time.,Occasionally browses weekend evening viewing content,6501,O,All Time,arts-entertainment
Assassin's Creed Fans Lookalike,Permutive,11802,Gaming,This is a lookalike segment based on the 'Assassin's Creed Fans' seed segment.,Occasionally browses related content,216594,O,All Time,gaming
outdoor biking Fans,Permutive,214213,Sports,This is a segment of users who have browsed for outdoor biking content at least 2 times at any point in time.,Regularly browses outdoor biking content,99616,R,All Time,sports
Salisbury Geolocation,Permutive,12108,Geo targeting,This is a segment of users who accessed our content from a Salisbury geolocation in the last 30 days.,Occasionally browses related content,212467,O,30 Days,geo-targeting
classical music Fans,Permutive,5,Uncategorised,This is a segment of users who have browsed for classical music content at any point in time.,Browses classical music content,69910,,,uncategorised
War Drama Fans,Permutive,35374,Arts & Entertainment,This is a segment of users who have browsed for war drama content at least once at any point in time.,Occasionally browses war drama content,241649,O,All Time,arts-entertainment
Freezable Fans,Permutive,6795,Food & Drink,This is a segment of users who have browsed for freezable content at least 5 times at any point in time.,Frequently browses freezable content,61208,F,All Time,food-drink
Love Island Fans,Permutive,24749,Arts & Entertainment,This is a segment of users who have browsed for love island content at least 2 times at any point in time.,Regularly browses love island content,7672,R,All Time,arts-entertainment
BMW Fans,Permutive,55858,Auto,This is a segment of users who have browsed for bmw content at least 2 times at any point in time.,Regularly browses bmw content,10367,R,All Time,auto
Mercedes-Benz Lookalike,Permutive,225069,Auto,This is a lookalike segment based on the 'Mercedes-Benz Fans' seed segment.,Occasionally browses related content,232019,O,All Time,auto
Regular Easy skill level savoury recipe bakers Fans,Permutive,10939,Food & Drink,This is a segment of users who have browsed for regular easy skill level savoury recipe bakers content at least 2 times at any point in time.,Regularly browses regular easy skill level savoury recipe bakers content,25757,R,1 Month,food-drink
History Extra -events Fans,Permutive,447,Uncategorised,This is a segment of users who have browsed for history extra -events content at any point in time.,Browses history extra -events content,54123,,,uncategorised
Chester Geolocation,Permutive,24746,Geo targeting,This is a segment of users who accessed our content from a Chester geolocation in the last 30 days.,Occasionally browses related content,185974,O,30 Days,geo-targeting
December 2024 Top Recipes Audience Fans,Permutive,131849,Food & Drink,This is a segment of users who have browsed for december 2024 top recipes audience content at least once in the last 90 days.,Occasionally browses december 2024 top recipes audience content,252866,O,90 Days,food-drink
Mayonnaise Fans,Permutive,142548,Food & Drink,This is a segment of users who have browsed for mayonnaise content at least 2 times in the last 90 days.,Regularly browses mayonnaise content,139774,R,90 Days,food-drink
Documentary Fans,Permutive,76811,Arts & Entertainment,This is a segment of users who have browsed for documentary content at least 2 times in the last 90 days.,Regularly browses documentary content,124205,R,90 Days,arts-entertainment
Only Murders in the Building Fans,Permutive,861291,Arts & Entertainment,This is a segment of users who have browsed for only murders in the building content at least once at any point in time.,Occasionally browses only murders in the building content,236752,O,All Time,arts-entertainment
Poole Geolocation,Permutive,18286,Geo targeting,This is a segment of users who accessed our content from a Poole geolocation in the last 30 days.,Occasionally browses related content,212457,O,30 Days,geo-targeting
World Cup Listings Fans,Permutive,17,Arts & Entertainment,This is a segment of users who have browsed for world cup listings content at least 2 times at any point in time.,Regularly browses world cup listings content,7633,R,All Time,arts-entertainment
Clothing Fans,Permutive,27720,Sports,This is a segment of users who have browsed for clothing content at least once at any point in time.,Occasionally browses clothing content,10636,O,All Time,sports
Top Gear Fans,Permutive,288732,Auto,This is a segment of users who have browsed for top gear content at least 2 times at any point in time.,Regularly browses top gear content,6244,R,All Time,auto
Pregnancy Products Fans,Permutive,70,Parenting,This is a segment of users who have browsed for pregnancy products content at least 2 times in the last 90 days.,Regularly browses pregnancy products content,22183,R,90 Days,parenting
Waste conscious Fans,Permutive,110488,GF,This is a segment of users who have browsed for waste conscious content at any point in time.,Browses waste conscious content,21839,,,gf
Harry Potter Franchise Fans Lookalike,Permutive,36263,Gaming,This is a lookalike segment based on the 'Harry Potter Franchise Fans' seed segment.,Occasionally browses related content,208047,O,All Time,gaming
Second World War Fans,Permutive,41953,History Extra,This is a segment of users who have browsed for second world war content at any point in time.,Browses second world war content,17017,,,history-extra
Bank Holidays Fans,Permutive,22259,Food & Drink,This is a segment of users who have browsed for bank holidays content at least once at any point in time.,Occasionally browses bank holidays content,6663,O,All Time,food-drink
Music Festival Fans Lookalike,Permutive,385569,Arts & Entertainment,This is a lookalike segment based on the 'Music Festival Fans' seed segment.,Occasionally browses related content,241392,O,All Time,arts-entertainment
2-for-1 Gardens Visitors Lookalike,Permutive,303898,Gardening,This is a lookalike segment based on the '2-for-1 Gardens Visitors Fans' seed segment.,Occasionally browses related content,220910,O,90 Days,gardening
Call of Duty Franchise Fans,Permutive,500078,Gaming,This is a segment of users who have browsed for call of duty franchise content at least once at any point in time.,Occasionally browses call of duty franchise content,206970,O,All Time,gaming
Red Wine fans,Permutive,347955,Food & Drink,This is a segment of users who have browsed for red wine fans content at least 2 times in the last 90 days.,Regularly browses red wine fans content,189331,R,90 Days,food-drink
Nando's-Good Food-June23 Fans,Permutive,3,Uncategorised,This is a segment of users who have browsed for nando's-good food-june23 content at any point in time.,Browses nando's-good food-june23 content,153808,,,uncategorised
Tudors Fans,Permutive,26739,History Extra,This is a segment of users who have browsed for tudors content at any point in time.,Browses tudors content,15833,,,history-extra
GoodFood Users Fans,Permutive,3718588,Food & Drink,This is a segment of users who have browsed for goodfood users content at least 5 times at any point in time.,Frequently browses goodfood users content,16208,F,All Time,food-drink
Role Playing Games Fans,Permutive,14535,Gaming,This is a segment of users who have browsed for role playing games content at least once at any point in time.,Occasionally browses role playing games content,207906,O,All Time,gaming
Mystery Thriller Fans,Permutive,526082,Arts & Entertainment,This is a segment of users who have browsed for mystery thriller content at least once at any point in time.,Occasionally browses mystery thriller content,201925,O,All Time,arts-entertainment
Valentines Lookalike,Permutive,225749,Food & Drink,This is a lookalike segment based on the 'Valentines Fans' seed segment.,Occasionally browses related content,257188,O,All Time,food-drink
Watches Fans,Permutive,4501,Interest,This is a segment of users who have browsed for watches content at least 2 times at any point in time.,Regularly browses watches content,105245,R,All Time,interest
Early Tech Adopters Fans,Permutive,400159,Technology,This is a segment of users who have browsed for early tech adopters content at least 2 times at any point in time.,Regularly browses early tech adopters content,7523,R,All Time,technology
Sustainability Fans,Permutive,5852573,Interest,This is a segment of users who have browsed for sustainability content at least 2 times in the last 90 days.,Regularly browses sustainability content,130869,R,90 Days,interest
Kids Toys Fans,Permutive,2574,Parenting,This is a segment of users who have browsed for kids toys content at least 2 times in the last 90 days.,Regularly browses kids toys content,22271,R,90 Days,parenting
First World War Fans,Permutive,5299,Arts & Entertainment,This is a segment of users who have browsed for first world war content at least 2 times at any point in time.,Regularly browses first world war content,28326,R,All Time,arts-entertainment
Boxing Fans Lookalike,Permutive,353723,Sports,This is a lookalike segment based on the 'Boxing Fans' seed segment.,Occasionally browses related content,194142,O,All Time,sports
Weekly Meal Planners -Food & Drink -Analytics AP-Food Shop pref Fans,Permutive,560126,Uncategorised,This is a segment of users who have browsed for weekly meal planners -food & drink -analytics ap-food shop pref content at any point in time.,Browses weekly meal planners -food & drink -analytics ap-food shop pref content,15340,,,uncategorised
Paleo Diet Fans,Permutive,2006,Food & Drink,This is a segment of users who have browsed for paleo diet content at least 2 times at any point in time.,Regularly browses paleo diet content,22032,R,All Time,food-drink
Olive Bakers Fans,Permutive,95400,Food & Drink,This is a segment of users who have browsed for olive bakers content at least once at any point in time.,Occasionally browses olive bakers content,10675,O,All Time,food-drink
Kingston Upon Thames Geolocation,Permutive,16011,Geo targeting,This is a segment of users who accessed our content from a Kingston Upon Thames geolocation in the last 30 days.,Occasionally browses related content,212526,O,30 Days,geo-targeting
GW - March 23 Fans,Permutive,1,Stihl,This is a segment of users who have browsed for gw - march 23 content at any point in time.,Browses gw - march 23 content,141272,,,stihl
Sweet Potato Fans,Permutive,338821,Food & Drink,This is a segment of users who have browsed for sweet potato content at any point in time.,Browses sweet potato content,257249,,,food-drink
Romantic Movies Fans Lookalike,Permutive,210038,Arts & Entertainment,This is a lookalike segment based on the 'Romantic Movies Fans' seed segment.,Occasionally browses related content,221149,O,All Time,arts-entertainment
BT Users Fans,Permutive,2014078,Internet Service Provider,This is a segment of users who have browsed for bt users content at least once in the last 30 days.,Occasionally browses bt users content,164436,O,30 Days,internet-service-provider
F1 Fans,Permutive,161342,Auto,This is a segment of users who have browsed for f1 content at least once at any point in time.,Occasionally browses f1 content,13438,O,All Time,auto
Blackpool Geolocation,Permutive,17691,Geo targeting,This is a segment of users who accessed our content from a Blackpool geolocation in the last 30 days.,Occasionally browses related content,185972,O,30 Days,geo-targeting
Garden Design content fans,Permutive,69345,Gardening,This is a segment of users who have browsed for garden design content at least once at any point in time.,Occasionally browses garden design content,187313,O,All Time,gardening
BBC iPlayer Fans,Permutive,814253,Arts & Entertainment,This is a segment of users who have browsed for bbc iplayer content at least 2 times at any point in time.,Regularly browses bbc iplayer content,95748,R,All Time,arts-entertainment
Huawei Lookalike,Permutive,1082749,Device,This is a lookalike segment based on the 'Huawei Fans' seed segment.,Occasionally browses related content,87238,O,All Time,device
Uplifting/Switch Off Shows Fans,Permutive,194666,Arts & Entertainment,This is a segment of users who have browsed for uplifting/switch off shows content at any point in time.,Browses uplifting/switch off shows content,247287,,,arts-entertainment
Mexican Fans,Permutive,671020,Food & Drink,This is a segment of users who have browsed for mexican content at least 2 times at any point in time.,Regularly browses mexican content,22130,R,All Time,food-drink
Android users Fans,Permutive,5528381,Uncategorised,This is a segment of users who have browsed for android users content at any point in time.,Browses android users content,75239,,,uncategorised
Tudor Fans,Permutive,18884,Arts & Entertainment,This is a segment of users who have browsed for tudor content at least 2 times at any point in time.,Regularly browses tudor content,31033,R,All Time,arts-entertainment
25-34 Fans,Permutive,48,Audience Project,This is a segment of users who have browsed for 25-34 content at any point in time.,Browses 25-34 content,10874,,,audience-project
Pina Colada Recipe Visitors Fans,Permutive,17543,Uncategorised,This is a segment of users who have browsed for pina colada recipe visitors content at any point in time.,Browses pina colada recipe visitors content,240140,,,uncategorised
Olympics 1P Lookalike,Permutive,409379,Uncategorised,This is a lookalike segment based on the 'Olympics 1P Fans' seed segment.,Browses related content,154308,,,uncategorised
Franchises fans Fans,Permutive,259737,Gaming,This is a segment of users who have browsed for franchises fans content at least once at any point in time.,Occasionally browses franchises fans content,194383,O,All Time,gaming
JLR competitor set - neg. review Fans,Permutive,825,Auto,This is a segment of users who have browsed for jlr competitor set - neg. review content at least once at any point in time.,Occasionally browses jlr competitor set - neg. review content,219374,O,Current Session,auto
Football Manager Fans,Permutive,5172,Gaming,This is a segment of users who have browsed for football manager content at least once at any point in time.,Occasionally browses football manager content,206645,O,All Time,gaming
Large SUVs Fans,Permutive,495231,Auto,This is a segment of users who have browsed for large suvs content at least 2 times at any point in time.,Regularly browses large suvs content,10298,R,All Time,auto
Hot Hatches Lookalike,Permutive,175225,Auto,This is a lookalike segment based on the 'Hot Hatches Fans' seed segment.,Regularly browses related content,180986,R,All Time,auto
Rice Fans,Permutive,414388,Food & Drink,This is a segment of users who have browsed for rice content at least 2 times at any point in time.,Regularly browses rice content,14396,R,All Time,food-drink
London Geolocation,Permutive,5936148,Geo targeting,This is a segment of users who accessed our content from a London geolocation in the last 30 days.,Occasionally browses related content,182909,O,30 Days,geo-targeting
Supportive parents Lookalike,Permutive,126023,Parenting,This is a lookalike segment based on the 'Supportive parents Fans' seed segment.,Regularly browses related content,125542,R,90 Days,parenting
Back to School Fans,Permutive,2161003,Parenting,This is a segment of users who have browsed for back to school content at least once at any point in time.,Occasionally browses back to school content,270011,O,Last 12 Months,parenting
Healthy Snackers Fans,Permutive,21959,Food & Drink,This is a segment of users who have browsed for healthy snackers content at least 2 times at any point in time.,Regularly browses healthy snackers content,10107,R,All Time,food-drink
Asian -Food & Drink Fans,Permutive,88916,Uncategorised,This is a segment of users who have browsed for asian -food & drink content at least 5 times at any point in time.,Frequently browses asian -food & drink content,15327,F,All Time,uncategorised
Family Bonders Fans,Permutive,1270011,Arts & Entertainment,This is a segment of users who have browsed for family bonders content at least once at any point in time.,Occasionally browses family bonders content,251507,O,All Time,arts-entertainment
Milk Fans,Permutive,1901452,Food & Drink,This is a segment of users who have browsed for milk content at least 2 times at any point in time.,Regularly browses milk content,158554,R,All Time,food-drink
Live Sports Events Fans,Permutive,254789,Arts & Entertainment,This is a segment of users who have browsed for live sports events content at least 2 times at any point in time.,Regularly browses live sports events content,116910,R,All Time,arts-entertainment
q365.5 brands Fans,Permutive,47720,Sports,This is a segment of users who have browsed for q365.5 brands content at least 2 times at any point in time.,Regularly browses q365.5 brands content,37186,R,All Time,sports
Minecraft franchise Fans Lookalike,Permutive,116503,Gaming,This is a lookalike segment based on the 'Minecraft franchise Fans' seed segment.,Occasionally browses related content,206788,O,All Time,gaming
City-Car Fans,Permutive,45493,Auto,This is a segment of users who have browsed for city-car content at least 2 times at any point in time.,Regularly browses city-car content,10191,R,All Time,auto
Jeremy Clarkson Fans,Permutive,35807,Auto,This is a segment of users who have browsed for jeremy clarkson content at least 2 times at any point in time.,Regularly browses jeremy clarkson content,72599,R,All Time,auto
East of England Geolocation,Permutive,734991,Geo targeting,This is a segment of users who accessed our content from an East of England geolocation in the last 30 days.,Occasionally browses related content,187235,O,30 Days,geo-targeting
Baldur's Gate Franchise Fans Lookalike,Permutive,36612,Gaming,This is a lookalike segment based on the 'Baldur's Gate Franchise Fans' seed segment.,Occasionally browses related content,216707,O,All Time,gaming
